source_record,source_table,source_table_doi,observable_kind,eta_range,multiplicity_selection,manuscript_bin,fit_ready,mapping_status,pt_low_gev,pt_high_gev,pt_center_gev,yield_value,stat_error,sys_error,total_error
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.25,0.3,0.275,36.81,0.04044,0.9043,0.9052037801511879
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.25,0.3,0.275,41.86,0.07068,1.029,1.0314245791137615
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.25,0.3,0.275,46.93,0.1262,1.153,1.159885959911577
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.25,0.3,0.275,52.69,0.2003,1.295,1.3103988286014299
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.25,0.3,0.275,61.43,0.6648,1.509,1.648951193941167
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.3,0.35,0.32499999999999996,4.475,0.001643,0.3057,0.30570441516111607
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.3,0.35,0.32499999999999996,12.31,0.00443,0.4127,0.4127237755448552
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.3,0.35,0.32499999999999996,18.38,0.007824,0.6103,0.6103501494847035
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.3,0.35,0.32499999999999996,23.94,0.0132,0.7946,0.7947096325073706
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.3,0.35,0.32499999999999996,29.12,0.02232,0.7174,0.7177471298444879
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.3,0.35,0.32499999999999996,34.04,0.03829,0.8388,0.8396734866005953
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.3,0.35,0.32499999999999996,38.79,0.06699,0.9578,0.9601398336179996
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.3,0.35,0.32499999999999996,43.44,0.1195,1.071,1.077646161780387
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.3,0.35,0.32499999999999996,48.99,0.1901,1.208,1.222866309127862
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.3,0.35,0.32499999999999996,57.44,0.6328,1.415,1.5500518830026304
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.35,0.4,0.375,3.993,0.001527,0.2719,0.271904287809148
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.35,0.4,0.375,11.07,0.004143,0.3721,0.3721230635811223
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.35,0.4,0.375,16.62,0.007336,0.5529,0.5529486656969161
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.35,0.4,0.375,21.69,0.01239,0.7217,0.7218063466747852
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.35,0.4,0.375,26.5,0.021,0.6554,0.6557363494576155
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.35,0.4,0.375,31.09,0.03608,0.7695,0.7703453877320224
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.35,0.4,0.375,35.5,0.0632,0.879,0.8812691075942695
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.35,0.4,0.375,39.71,0.1127,0.9823,0.988743940562975
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.35,0.4,0.375,44.85,0.1794,1.109,1.1234168238013886
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.35,0.4,0.375,53.52,0.6024,1.326,1.456420873236854
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.4,0.45,0.42500000000000004,3.516,0.001423,0.2395,0.2395042273718775
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.4,0.45,0.42500000000000004,9.838,0.003881,0.3315,0.33152271741315104
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.4,0.45,0.42500000000000004,14.92,0.006907,0.4977,0.49774792480632196
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.4,0.45,0.42500000000000004,19.6,0.0117,0.6537,0.6538046956087116
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.4,0.45,0.42500000000000004,24.05,0.01987,0.5977,0.5980301889537015
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.4,0.45,0.42500000000000004,28.32,0.03422,0.7044,0.7052307199775121
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.4,0.45,0.42500000000000004,32.45,0.06003,0.8067,0.808930461102807
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.4,0.45,0.42500000000000004,36.45,0.1073,0.9053,0.9116366491097206
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.4,0.45,0.42500000000000004,41.2,0.1708,1.024,1.038146733366724
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.4,0.45,0.42500000000000004,49.15,0.5736,1.221,1.3490211117695676
