group_label,model_name,component_count,parameter_name,value,error
126-150,exact_bose_einstein,3,norm_2,1.531495176522038,0.3145992819462138
126-150,exact_bose_einstein,3,temperature_2,1.1547938091977377,0.06483394466648185
126-150,exact_bose_einstein,3,U_2,1.2811769893721179,0.20875296860714143
126-150,exact_bose_einstein,3,norm_3,5068.368651672288,619.7028878506926
126-150,exact_bose_einstein,3,temperature_3,0.12484028829085811,0.003811920866084839
126-150,exact_bose_einstein,3,U_3,0.42964611181755213,0.17516761109560122
126-150,tsallis,3,norm_1,10620.858814529585,7485.899433794053
126-150,tsallis,3,temperature_1,0.03980286250704101,0.007663910987878334
126-150,tsallis,3,q_1,1.2852182734903057,0.02185061748325634
126-150,tsallis,3,norm_2,645.7227438827704,47.95341071710237
126-150,tsallis,3,temperature_2,0.22850838052938277,0.004290279357398757
126-150,tsallis,3,q_2,1.1361693453010129,0.003069170156607237
126-150,tsallis,3,norm_3,44149.25975202284,5735.445390862933
126-150,tsallis,3,temperature_3,0.05512841671811702,0.002323873042559571
126-150,tsallis,3,q_3,1.1456674729771579,0.013784022201153046
126-150,blast_wave,3,norm_1,455.94196132413333,161.20301306420987
126-150,blast_wave,3,temperature_1,0.2260909034227212,0.013190252020561552
126-150,blast_wave,3,beta_s_1,0.9899999573545825,0.0022168344707845233
126-150,blast_wave,3,n_1,2.8256937752412963,0.7968238061163119
126-150,blast_wave,3,norm_2,1943.7301576577256,144.44925424565452
126-150,blast_wave,3,temperature_2,0.24925691138511474,0.005605741760285568
126-150,blast_wave,3,beta_s_2,0.8376688942080193,0.012835601148163567
126-150,blast_wave,3,n_2,1.7280388305031367,0.2256830435796714
126-150,blast_wave,3,norm_3,42684.925665947536,7896.804173564062
126-150,blast_wave,3,temperature_3,0.0806195888393002,0.00414499225915381
126-150,blast_wave,3,beta_s_3,0.40698872703600075,0.06310276511876722
126-150,blast_wave,3,n_3,0.1009476301554897,3.8794004610596122
21-30,manuscript_juttner,1,norm_1,82.41352547698197,6.777920936330695
21-30,manuscript_juttner,1,temperature_1,0.45747347032725244,0.007438998173383948
21-30,manuscript_juttner,1,U_1,2.9999913740880473,0.07594918774543902
21-30,exact_bose_einstein,1,norm_1,68.09904262914006,5.43527786867514
21-30,exact_bose_einstein,1,temperature_1,0.4736196635737791,0.007451653649647588
21-30,exact_bose_einstein,1,U_1,2.999999973384396,0.10018008983180082
21-30,tsallis,1,norm_1,946.7848421574447,64.69732733017815
21-30,tsallis,1,temperature_1,0.09461183585305434,0.0016451982882921962
21-30,tsallis,1,q_1,1.1455235976750004,0.0010502513248030754
21-30,blast_wave,1,norm_1,1505.9788338950975,141.58061565214211
21-30,blast_wave,1,temperature_1,0.12601877473361353,0.002999452664273844
21-30,blast_wave,1,beta_s_1,0.9352227127645196,0.0034582010547611897
21-30,blast_wave,1,n_1,3.9999999766612135,0.009690865778863023
21-30,manuscript_juttner,2,norm_1,326.9444088662402,25.142882326851492
21-30,manuscript_juttner,2,temperature_1,0.33450417588034,0.005806792948612138
21-30,manuscript_juttner,2,U_1,2.999996191413837,0.21257490421151037
21-30,manuscript_juttner,2,norm_2,0.3361085013540708,0.04503693470371478
21-30,manuscript_juttner,2,temperature_2,1.085014843504502,0.020733789285004356
21-30,manuscript_juttner,2,U_2,2.9999823787375868,0.2870127628488328
21-30,exact_bose_einstein,2,norm_1,247.50084242972406,17.888995594549954
21-30,exact_bose_einstein,2,temperature_1,0.3524584369262865,0.005876697160314331
21-30,exact_bose_einstein,2,U_1,2.9999991362071587,1.9842143061279567
21-30,exact_bose_einstein,2,norm_2,0.26032227729146235,0.035240271499079226
21-30,exact_bose_einstein,2,temperature_2,1.1233835395347223,0.021568605340191338
21-30,exact_bose_einstein,2,U_2,2.9999561509150072,0.20632080806971564
21-30,tsallis,2,norm_1,815.1593148920268,744.2886103483349
21-30,tsallis,2,temperature_1,0.06893051428239509,0.01819533544429963
21-30,tsallis,2,q_1,1.0011557750796658,0.9193946040247355
21-30,tsallis,2,norm_2,679.5018326178782,109.01115943166889
21-30,tsallis,2,temperature_2,0.10178054083213342,0.003585703331411283
21-30,tsallis,2,q_2,1.1424897957749727,0.001627568448978045
21-30,blast_wave,2,norm_1,1277.1985031316003,115.92324584955213
21-30,blast_wave,2,temperature_1,0.13417431527415663,0.0031107868321885307
21-30,blast_wave,2,beta_s_1,0.9032247061536127,0.005165338428482158
21-30,blast_wave,2,n_1,3.9999999999999587,0.055645009968191994
21-30,blast_wave,2,norm_2,9.329357046278831,0.32523299481189394
21-30,blast_wave,2,temperature_2,0.1827531372080125,2.148731553158756e-06
21-30,blast_wave,2,beta_s_2,0.9850638888873219,1.097632879587529e-07
21-30,blast_wave,2,n_2,3.9999999999940483,2.5628204750790404
21-30,manuscript_juttner,3,norm_1,829.0041750546915,68.90990763420689
21-30,manuscript_juttner,3,temperature_1,0.25632931871574977,0.011647405328222518
21-30,manuscript_juttner,3,U_1,2.9456430127695277,0.17751874898355569
21-30,manuscript_juttner,3,norm_2,4.833279452902027,0.5600190595212386
21-30,manuscript_juttner,3,temperature_2,0.7067084053218273,0.017862809822602965
21-30,manuscript_juttner,3,U_2,2.9524512543234755,0.08422362920104409
21-30,manuscript_juttner,3,norm_3,0.001838126005875363,0.0003905361694601793
21-30,manuscript_juttner,3,temperature_3,1.8735980230375155,0.09178117832904364
21-30,manuscript_juttner,3,U_3,2.3868801437720326,0.17172811019407908
21-30,exact_bose_einstein,3,norm_1,472.2113234433191,41.044860598566714
21-30,exact_bose_einstein,3,temperature_1,0.21125694699772551,0.00814259637180667
21-30,exact_bose_einstein,3,U_1,1.9169022239428914,0.13674845898575716
21-30,exact_bose_einstein,3,norm_2,3.5336378318263275,0.4493477215358437
21-30,exact_bose_einstein,3,temperature_2,0.7446191665498167,0.02734292650589598
21-30,exact_bose_einstein,3,U_2,2.9807087409686592,0.27903301258556024
21-30,exact_bose_einstein,3,norm_3,0.0013101507158452307,0.00027540145713690145
21-30,exact_bose_einstein,3,temperature_3,1.9998811892357737,0.18024902074053684
21-30,exact_bose_einstein,3,U_3,2.448370050970452,0.11014329274839718
21-30,tsallis,3,norm_1,356.84213220845226,173.26598360089636
