rank_in_group,group_label,model_name,component_count,success,chi2_ndf,aic,bic
1,51-60,tsallis,2,True,1.428738345115303,70.57827214972743,81.67915775998777
2,51-60,tsallis,1,True,10.627256359663063,473.5992798251748,479.14972263030495
3,51-60,blast_wave,1,True,24.06736170064482,1042.8965531277272,1050.2971435345673
4,51-60,manuscript_juttner,2,True,49.00422569845208,2021.1732536365353,2032.2741392467956
5,51-60,exact_bose_einstein,1,True,138.70878917560879,6109.186723726786,6114.737166531916
6,51-60,manuscript_juttner,1,True,159.92317681429824,7042.619779829123,7048.170222634253
1,61-70,tsallis,2,True,2.187120616141725,101.67194526181072,112.77283087207107
2,61-70,exact_bose_einstein,3,True,11.44494878196101,452.90805371451836,469.5593821299089
3,61-70,tsallis,1,True,18.417977082185573,816.3909916161651,821.9414344212953
4,61-70,blast_wave,1,True,29.75468501676086,1287.451455720717,1294.852046127557
5,61-70,exact_bose_einstein,2,True,54.083949479415445,2229.4419286560333,2240.5428142662936
6,61-70,manuscript_juttner,2,True,66.88070065770285,2754.1087269658165,2765.209612576077
7,61-70,exact_bose_einstein,1,True,193.53164642293842,8521.39244260929,8526.94288541442
8,61-70,manuscript_juttner,1,True,227.21861021847408,10003.61884961286,10009.16929241799
1,71-80,tsallis,2,True,2.048090734133188,95.97172009946073,107.07260570972107
2,71-80,tsallis,1,True,19.18629517291937,850.1969876084522,855.7474304135824
3,71-80,blast_wave,1,True,26.387560483879327,1142.665100806811,1150.0656912136512
4,71-80,exact_bose_einstein,2,True,50.515179522766395,2083.1223604334223,2094.2232460436826
5,71-80,manuscript_juttner,2,True,62.74109923159279,2584.3850684953045,2595.485954105565
6,71-80,exact_bose_einstein,1,True,185.96875838867652,8188.625369101767,8194.175811906898
7,71-80,manuscript_juttner,1,True,220.44069329010793,9705.39050476475,9710.94094756988
1,81-90,tsallis,2,True,1.7992609971669797,85.76970088384617,96.87058649410652
2,81-90,tsallis,3,True,1.9413054020548401,91.76960527808393,108.42093369347445
3,81-90,tsallis,1,True,19.352933921390044,857.5290925411618,863.079535346292
4,81-90,blast_wave,1,True,21.68090999864461,940.2791299417181,947.6797203485584
5,81-90,exact_bose_einstein,2,True,44.88185458717197,1852.156038074051,1863.2569236843112
6,81-90,manuscript_juttner,2,True,56.029231220882714,2309.1984800561913,2320.2993656664516
7,81-90,exact_bose_einstein,1,True,172.5544127440613,7598.394160738697,7603.944603543827
8,81-90,manuscript_juttner,1,True,207.20328580170082,9122.944575274836,9128.495018079966
1,91-100,tsallis,2,True,1.6107429683513081,78.04046170240363,89.14134731266398
2,91-100,blast_wave,2,True,5.140374080190418,216.47458912742633,231.2757699411068
