group_label,model_name,component_count,success,chi2,ndf,chi2_ndf,fit_quality_flag,aic,bic,edm,has_accurate_covar,seed_index
81-90,exact_bose_einstein,1,True,7592.394160738697,44,172.5544127440613,poor,7598.394160738697,7603.944603543827,2.6702292563835015e-06,True,1
81-90,tsallis,1,True,851.5290925411618,44,19.352933921390044,poor,857.5290925411618,863.079535346292,1.977621814349433e-08,True,1
81-90,blast_wave,1,True,932.2791299417181,43,21.68090999864461,poor,940.2791299417181,947.6797203485584,6.681001612365763e-05,True,1
81-90,manuscript_juttner,2,True,2297.1984800561913,41,56.029231220882714,poor,2309.1984800561913,2320.2993656664516,4.225395226614196e-05,True,1
81-90,exact_bose_einstein,2,True,1840.156038074051,41,44.88185458717197,poor,1852.156038074051,1863.2569236843112,2.83362648948317e-05,True,1
81-90,tsallis,2,True,73.76970088384617,41,1.7992609971669797,ok,85.76970088384617,96.87058649410652,1.9748679408028065e-05,True,1
81-90,blast_wave,2,False,47.85730899661479,39,1.227110487092687,ok,63.85730899661479,78.65848981029526,0.37023649806401054,False,1
81-90,manuscript_juttner,3,False,496.28420582151875,38,13.06011067951365,poor,514.2842058215188,530.9355342369092,2.85787655851602,True,1
81-90,exact_bose_einstein,3,False,364.1089729507643,38,9.581815077651692,poor,382.1089729507643,398.76030136615486,14.502205944526514,False,1
81-90,tsallis,3,True,73.76960527808393,38,1.9413054020548401,ok,91.76960527808393,108.42093369347445,1.2793863098518365e-05,False,1
81-90,blast_wave,3,False,13.691572520747483,35,0.39118778630707096,poor,37.691572520747485,59.89334374126818,0.6886314546428262,True,1
91-100,manuscript_juttner,1,True,8485.328000392168,44,192.84836364527655,poor,8491.328000392168,8496.878443197298,4.384091930566055e-06,True,1
91-100,exact_bose_einstein,1,True,6967.057431270296,44,158.34221434705216,poor,6973.057431270296,6978.607874075426,5.8409034739105414e-05,True,1
91-100,tsallis,1,True,863.0355323083976,44,19.614443916099944,poor,869.0355323083976,874.5859751135278,9.660931794375144e-07,True,1
91-100,blast_wave,1,True,716.7507382524707,43,16.6686218198249,poor,724.7507382524707,732.1513286593109,4.03316409675568e-05,True,1
91-100,manuscript_juttner,2,False,1979.7857241678544,41,48.287456687020835,poor,1991.7857241678544,2002.8866097781147,0.004111557559054897,True,1
91-100,exact_bose_einstein,2,True,1586.2103874115815,41,38.68805822955077,poor,1598.2103874115815,1609.3112730218418,0.0001672625132118227,True,1
91-100,tsallis,2,True,66.04046170240363,41,1.6107429683513081,ok,78.04046170240363,89.14134731266398,9.053123168065981e-06,True,1
91-100,blast_wave,2,True,200.47458912742633,39,5.140374080190418,poor,216.47458912742633,231.2757699411068,7.238491167621059e-06,True,1
91-100,manuscript_juttner,3,False,421.40408589726053,38,11.089581207822645,poor,439.40408589726053,456.05541431265107,0.0700961228707925,False,1
91-100,exact_bose_einstein,3,True,294.80513636453543,38,7.75802990432988,poor,312.80513636453543,329.45646477992597,0.0004107768963725603,True,1
91-100,tsallis,3,False,63.27032518619825,38,1.665008557531533,ok,81.27032518619825,97.92165360158877,2.315577080729389,False,1
91-100,blast_wave,3,False,62.87722514623058,35,1.7964921470351594,poor,86.87722514623059,109.07899636675128,16.164600243418253,False,1
