t1_init,u1_init,t2_init,u2_init,valid,chi2,chi2_ndf,t1_fit,t2_fit,u1_fit,u2_fit
0.12,0.8,0.24,0.6,False,652.0533977931852,15.903741409589884,,,,
0.12,0.8,0.24,0.8,False,650.0497275175736,15.85487140286765,,,,
0.12,0.8,0.24,1.0,False,649.4524743247018,15.840304251821996,,,,
0.12,1.0,0.12,0.4,False,650.7116040767916,15.871014733580282,,,,
0.12,1.0,0.12,0.6,False,651.3679705087092,15.887023670944126,,,,
0.12,1.0,0.12,0.8,False,649.6622541752337,15.845420833542285,,,,
0.12,1.0,0.12,1.0,False,651.7599737581618,15.896584725808824,,,,
0.12,1.0,0.16,0.4,False,646.8903137793948,15.77781253120475,,,,
0.12,1.0,0.16,0.6,False,650.5764296239986,15.867717795707282,,,,
0.12,1.0,0.16,0.8,False,646.6103746737115,15.770984748139304,,,,
0.12,1.0,0.16,1.0,False,651.364446421671,15.886937717601732,,,,
0.12,1.0,0.2,0.4,False,641.961209770561,15.657590482208805,,,,
0.12,1.0,0.2,0.6,False,643.9562731327627,15.706250564213725,,,,
0.12,1.0,0.2,0.8,False,649.0073272872263,15.82944700700552,,,,
0.12,1.0,0.2,1.0,False,648.9059661770906,15.826974784807087,,,,
0.12,1.0,0.24,0.4,False,651.4928517531612,15.89006955495515,,,,
0.12,1.0,0.24,0.6,False,642.5826937088511,15.67274862704515,,,,
0.12,1.0,0.24,0.8,False,642.8164794242952,15.678450717665735,,,,
0.12,1.0,0.24,1.0,False,648.9886716639088,15.828991991802654,,,,
0.16,0.4,0.16,0.4,False,641.2039429082317,15.639120558737359,,,,
0.16,0.4,0.16,0.6,False,641.1036670709744,15.636674806609133,,,,
0.16,0.4,0.16,0.8,False,642.2832532278884,15.665445200680205,,,,
0.16,0.4,0.16,1.0,False,647.2090668003063,15.785586995129423,,,,
0.16,0.4,0.2,0.4,False,644.3101364244909,15.714881376207096,,,,
0.16,0.4,0.2,0.6,False,641.3963368192101,15.643813093151465,,,,
0.16,0.4,0.2,0.8,False,643.5242587846618,15.69571362889419,,,,
0.16,0.4,0.2,1.0,False,641.1205218356545,15.637085898430596,,,,
0.16,0.4,0.24,0.4,False,640.9731976791787,15.633492626321432,,,,
0.16,0.4,0.24,0.6,False,643.2195228463482,15.688281045032884,,,,
0.16,0.4,0.24,0.8,False,646.4190876915362,15.766319211988689,,,,
0.16,0.4,0.24,1.0,False,641.1896883877282,15.638772887505565,,,,
0.16,0.6,0.16,0.4,False,641.8141464659517,15.654003572340285,,,,
0.16,0.6,0.16,0.6,False,641.8425985663308,15.65469752600807,,,,
0.16,0.6,0.16,0.8,False,642.4336792495128,15.669114128036897,,,,
0.16,0.6,0.16,1.0,False,641.2489553362173,15.640218422834566,,,,
0.16,0.6,0.2,0.4,False,660.4529421902245,16.108608346103036,,,,
0.16,0.6,0.2,0.6,False,640.9734306745688,15.633498309135824,,,,
0.16,0.6,0.2,0.8,False,641.3395445550716,15.642427915977356,,,,
0.16,0.6,0.2,1.0,False,640.9731749967551,15.633492073091588,,,,
0.16,0.6,0.24,0.4,False,641.6994633792755,15.651206423884767,,,,
0.16,0.6,0.24,0.6,False,641.0386546984296,15.635089138986087,,,,
0.16,0.6,0.24,0.8,False,641.939039719894,15.657049749265708,,,,
0.16,0.6,0.24,1.0,False,640.9866677066906,15.633821163577819,,,,
0.16,0.8,0.16,0.4,False,642.6390514044779,15.674123204987264,,,,
0.16,0.8,0.16,0.6,False,642.0179375470495,15.658974086513403,,,,
0.16,0.8,0.16,0.8,False,642.5500908108656,15.671953434411357,,,,
0.16,0.8,0.16,1.0,False,642.2897609204196,15.665603924888282,,,,
0.16,0.8,0.2,0.4,False,641.6307684792594,15.64953093851852,,,,
0.16,0.8,0.2,0.6,False,640.9790630949261,15.633635685242101,,,,
0.16,0.8,0.2,0.8,False,644.304206222998,15.714736737146293,,,,
0.16,0.8,0.2,1.0,False,641.5413229053066,15.64734933915382,,,,
0.16,0.8,0.24,0.4,False,641.5493161696669,15.647544296821144,,,,
0.16,0.8,0.24,0.6,False,642.4470787441408,15.669440944979042,,,,
0.16,0.8,0.24,0.8,False,643.3603217750576,15.691715165245308,,,,
0.16,0.8,0.24,1.0,False,641.0079690093072,15.634340707544078,,,,
0.16,1.0,0.16,0.4,False,643.8426681008015,15.703479709775646,,,,
0.16,1.0,0.16,0.6,False,642.1457475076598,15.66209140262585,,,,
0.16,1.0,0.16,0.8,False,644.2099903237089,15.712438788383144,,,,
0.16,1.0,0.16,1.0,False,641.8998702274057,15.656094395790383,,,,
