group_label,model_name,component_count,parameter_name,value,error
31-40,tsallis,1,q_1,1.1653074230332212,0.0015153648421448729
31-40,manuscript_juttner,1,norm_1,280.7887115254389,10.653674669733164
31-40,manuscript_juttner,1,temperature_1,0.4730859782364182,0.0043605928954875695
31-40,manuscript_juttner,1,U_1,2.9999998911338266,0.025986821762113088
31-40,blast_wave,2,norm_1,73.39254188965386,17.818512137523577
31-40,blast_wave,2,temperature_1,0.24095110280641582,0.011586968573227899
31-40,blast_wave,2,beta_s_1,0.9260756196949664,0.01838355341080611
31-40,blast_wave,2,n_1,2.921893955603446,0.8371570530361482
31-40,blast_wave,2,norm_2,9877.650353135983,641.6194268867357
31-40,blast_wave,2,temperature_2,0.09644413495194547,0.0018374603286495511
31-40,blast_wave,2,beta_s_2,0.9377060003265886,0.005913273632443983
31-40,blast_wave,2,n_2,1.6928828458837701,0.0924650037384318
31-40,tsallis,2,norm_1,2.3640743309977707e-06,0.5476544342363334
31-40,tsallis,2,temperature_1,0.21706846723872308,0.9550690853080106
31-40,tsallis,2,q_1,1.016076276040333,0.7864827597257379
31-40,tsallis,2,norm_2,2233.845449979344,1.996636572835996
31-40,tsallis,2,temperature_2,0.09917895491056478,0.0002864317062694008
31-40,tsallis,2,q_2,1.165309333943478,0.0007397051692594747
31-40,manuscript_juttner,2,norm_1,16.42509379073969,1.121138988677946
31-40,manuscript_juttner,2,temperature_1,0.7872561588355316,0.01286895041745717
31-40,manuscript_juttner,2,U_1,2.976275571194312,0.049020045185579786
31-40,manuscript_juttner,2,norm_2,1607.6300633045328,171.27899854772102
31-40,manuscript_juttner,2,temperature_2,0.22078280265719474,0.03286205293386944
31-40,manuscript_juttner,2,U_2,2.1598529597284153,0.5248656932281377
31-40,blast_wave,3,norm_1,13.978842118234358,3.3670765040834363
31-40,blast_wave,3,temperature_1,0.3500809083414281,0.016361806824930714
31-40,blast_wave,3,beta_s_1,0.8868483875115613,0.033665797552796695
31-40,blast_wave,3,n_1,3.968648734576538,3.45061631708283
31-40,blast_wave,3,norm_2,365.26135549220174,45.54573988266458
31-40,blast_wave,3,temperature_2,0.20886519699016745,0.005838742701526789
31-40,blast_wave,3,beta_s_2,0.8121927822897776,0.0321074836598183
31-40,blast_wave,3,n_2,3.322543917213509,0.7132648459951207
31-40,blast_wave,3,norm_3,6620.041342471101,601.1829431080009
31-40,blast_wave,3,temperature_3,0.09798966991767954,0.0024546547078943826
31-40,blast_wave,3,beta_s_3,0.9327840808745587,0.020753373761980054
31-40,blast_wave,3,n_3,3.065130024392659,0.49242854385038415
31-40,tsallis,3,norm_1,9618.753008357311,472.20188083852645
31-40,tsallis,3,temperature_1,0.055930681646929416,0.000830104357105458
31-40,tsallis,3,q_1,1.1539896686053681,0.005689649785928563
31-40,tsallis,3,norm_2,215.2192064614678,7.193732223555884
31-40,tsallis,3,temperature_2,0.17688595062513038,0.0012250142249306262
31-40,tsallis,3,q_2,1.1229561782595834,0.001513861973186259
31-40,tsallis,3,norm_3,2.8365752712801537,31.81258888306065
31-40,tsallis,3,temperature_3,0.013249123228164714,0.050142249261955776
31-40,tsallis,3,q_3,1.8205451700534225,0.8630174517733517
31-40,manuscript_juttner,3,norm_1,4.030822252977332,0.0396738567970194
31-40,manuscript_juttner,3,temperature_1,0.6188048736945215,0.0010051807169161875
31-40,manuscript_juttner,3,U_1,1.469608260682628,0.005464617997791188
31-40,manuscript_juttner,3,norm_2,254.9087929375738,4.87718743588222
