group_label,model_name,parameter_name,value,error
31-40,juttner_1c,U_1,2.999999948432295,0.025981601262438536
31-40,bose_1c,norm_1,213.45043304743555,8.03982245720593
31-40,bose_1c,temperature_1,0.5040328007967536,0.004506214550013293
31-40,bose_1c,U_1,2.9999998834855854,0.03855574040764509
31-40,tsallis_1c,norm_1,1642.441384765522,62.85074377389196
31-40,tsallis_1c,temperature_1,0.11031142226909259,0.0011920367576110577
31-40,tsallis_1c,q_1,1.1521846514402316,0.0007317211258366374
31-40,bgbw,norm_1,2766.0404217195,122.70720566168939
31-40,bgbw,temperature_1,0.14786538512169525,0.0017559738938878883
31-40,bgbw,beta_s_1,0.9424582696552697,0.001659431327661498
31-40,bgbw,n_1,3.9999999999726508,0.00954794488096855
31-40,juttner_2c,norm_1,1056.3648559877352,52.19891229762959
31-40,juttner_2c,temperature_1,0.3314853998965528,0.004360583445080168
31-40,juttner_2c,U_1,2.999999890088493,0.12477555386029926
31-40,juttner_2c,norm_2,2.651877727283669,0.255023476164034
31-40,juttner_2c,temperature_2,1.065026872787223,0.01534865459770951
31-40,juttner_2c,U_2,2.999998652320233,0.12649342777646333
31-40,bose_2c,norm_1,783.0610381029156,39.20986089011143
31-40,bose_2c,temperature_1,0.35341696367437314,0.007356613933013095
31-40,bose_2c,U_1,2.991561881782334,0.11579679686709743
31-40,bose_2c,norm_2,1.8793443412765107,0.17930839955142175
31-40,bose_2c,temperature_2,1.1191809559820856,0.01580905587635073
31-40,bose_2c,U_2,2.999999974432362,0.11051357467823442
31-40,tsallis_2c,norm_1,751.5962302349686,64.74623150501878
31-40,tsallis_2c,temperature_1,0.13388862328358278,0.0027735910968785943
31-40,tsallis_2c,q_1,1.1420800192166751,0.001206823847081262
31-40,tsallis_2c,norm_2,4030.1175073787704,2189.799003824777
31-40,tsallis_2c,temperature_2,0.07199631832331732,0.012747698853185895
31-40,tsallis_2c,q_2,1.0030708074300148,0.5954128592544863
41-50,juttner_1c,norm_1,342.2933181854033,12.816511697319271
41-50,juttner_1c,temperature_1,0.5183029232289518,0.004865430401519877
41-50,juttner_1c,U_1,2.999999536460186,0.02240932549741026
41-50,bose_1c,norm_1,254.62392773965288,8.797702559216617
41-50,bose_1c,temperature_1,0.5533677973036486,0.004687079757583201
41-50,bose_1c,U_1,2.999999983066596,0.03167493425055801
41-50,tsallis_1c,norm_1,2023.7418506826766,78.11065584143182
41-50,tsallis_1c,temperature_1,0.11810281341747744,0.001333384847288413
41-50,tsallis_1c,q_1,1.1564280310266684,0.0007992262867726474
41-50,bgbw,norm_1,3301.620269285577,142.13499846615537
41-50,bgbw,temperature_1,0.1606429787121178,0.0018965660739773266
41-50,bgbw,beta_s_1,0.9455261437022606,0.0016006286050108676
41-50,bgbw,n_1,3.999999921213384,0.024885945721169866
41-50,juttner_2c,norm_1,1482.8067166504222,76.37124596655303
41-50,juttner_2c,temperature_1,0.3411607773106038,0.004915232472500974
41-50,juttner_2c,U_1,2.9999999158699246,0.12719900593898248
41-50,juttner_2c,norm_2,5.18127561053858,0.4853019153096261
41-50,juttner_2c,temperature_2,1.0898764442642117,0.015613257891582855
41-50,juttner_2c,U_2,2.999999000792775,0.12161380626443408
41-50,tsallis_2c,norm_1,7218.917836377041,3735.482022187184
41-50,tsallis_2c,temperature_1,0.07025866221083996,0.011887978772789888
41-50,tsallis_2c,q_1,1.010320379761683,0.0481614660180385
41-50,tsallis_2c,norm_2,854.0819087063294,69.89467529205035
41-50,tsallis_2c,temperature_2,0.14759571428151808,0.0030238677608095677
41-50,tsallis_2c,q_2,1.143839660946688,0.001305370672231021
51-60,juttner_1c,norm_1,396.13146409231473,14.324554683503152
51-60,juttner_1c,temperature_1,0.5463707595468015,0.005060462701073354
51-60,juttner_1c,U_1,2.9999987190039987,0.02053430005810286
51-60,bose_1c,norm_1,292.8972709880433,9.661697576524972
51-60,bose_1c,temperature_1,0.5845249124528004,0.0048166223825978904
51-60,bose_1c,U_1,2.999996218349355,0.03241395886731646
51-60,tsallis_1c,norm_1,2339.7102530299644,90.88078552449542
51-60,tsallis_1c,temperature_1,0.12328118584527388,0.0014294480784229416
51-60,tsallis_1c,q_1,1.1591805021280253,0.000841362869553941
51-60,bgbw,norm_1,3726.7209283108477,158.24181335482263
51-60,bgbw,temperature_1,0.16938860043057458,0.002003937506842954
51-60,bgbw,beta_s_1,0.947401381483622,0.001580544543261897
51-60,bgbw,n_1,3.9999974824442583,0.23703201058253143
51-60,juttner_2c,norm_1,7.978801033100984,0.7475243868401082
51-60,juttner_2c,temperature_1,1.1053098287573206,0.016112974521987344
51-60,juttner_2c,U_1,2.999994527564191,0.09894834660913432
51-60,juttner_2c,norm_2,1887.6784892927124,101.07455047640974
51-60,juttner_2c,temperature_2,0.34544588676066834,0.005335819172449241
51-60,juttner_2c,U_2,2.999999840415924,0.12867679784928843
51-60,bose_2c,norm_1,5.366015241172676,0.3430739747560341
51-60,bose_2c,temperature_1,1.172475214995136,0.011511175590030565
51-60,bose_2c,U_1,2.999999999411034,0.15873829571058273
51-60,bose_2c,norm_2,1312.011058949684,60.11520447906355
51-60,bose_2c,temperature_2,0.3764686012345902,0.009413476249552022
51-60,bose_2c,U_2,2.9999998290628076,2.9954424658212284
51-60,tsallis_2c,norm_1,10546.822549681554,5656.50738441093
51-60,tsallis_2c,temperature_1,0.0686466372596655,0.012069678939162332
51-60,tsallis_2c,q_1,1.0200319968903702,0.04279876725799803
51-60,tsallis_2c,norm_2,935.1820418508229,77.2870638733649
51-60,tsallis_2c,temperature_2,0.1570696903168625,0.003300243766730132
51-60,tsallis_2c,q_2,1.1449529394663875,0.0013899712555544008
61-70,juttner_1c,norm_1,649.8792100678811,20.839903017748668
61-70,juttner_1c,temperature_1,0.5121412818793859,0.004540622102011949
61-70,juttner_1c,U_1,2.999999991069171,0.015466517945371239
61-70,bose_1c,norm_1,435.69288854474127,12.483287635255778
61-70,bose_1c,temperature_1,0.5645008599007615,0.004370725055303004
61-70,bose_1c,U_1,2.9999998689983456,0.024055656138205705
61-70,tsallis_1c,norm_1,2958.2487279033885,93.294464042448
61-70,tsallis_1c,temperature_1,0.12208178889342802,0.0011911840145234637
61-70,tsallis_1c,q_1,1.1646539145894828,0.000738434025255863
61-70,bgbw,norm_1,6116.110937255348,541.4895403448477
61-70,bgbw,temperature_1,0.15445333531235375,0.0043883132236541
61-70,bgbw,beta_s_1,0.9554065165700879,0.0018630628784992997
61-70,bgbw,n_1,2.9869110181173633,0.16098475132019074
61-70,juttner_2c,norm_1,2853.8781474724965,122.69622679530289
61-70,juttner_2c,temperature_1,0.32435271057427345,0.004206811027318874
61-70,juttner_2c,U_1,2.99999730054831,0.10384323033001697
61-70,juttner_2c,norm_2,15.717489233241368,1.2263846193971482
61-70,juttner_2c,temperature_2,1.0558688401553122,0.013243865825674939
61-70,juttner_2c,U_2,2.999999892097891,0.06897996672231965
61-70,bose_2c,norm_1,10.451167133161837,0.8310466361617532
61-70,bose_2c,temperature_1,1.1242303376772975,0.014034512794770526
61-70,bose_2c,U_1,2.9999999943696873,0.09852736303233955
61-70,bose_2c,norm_2,1872.2470196414758,160.43419758782068
61-70,bose_2c,temperature_2,0.30678857067610743,0.05248385401608438
61-70,bose_2c,U_2,2.4505034059287834,0.5968420764306022
61-70,tsallis_2c,norm_1,14934.048120686488,5934.581322030173
61-70,tsallis_2c,temperature_1,0.06568602585395274,0.008600749643049403
61-70,tsallis_2c,q_1,1.0343993052091225,0.03225406719743962
61-70,tsallis_2c,norm_2,1014.0028461862206,73.70479347920354
61-70,tsallis_2c,temperature_2,0.16383295866997485,0.003098527014645372
61-70,tsallis_2c,q_2,1.1462505429632122,0.001320354144910052
71-80,juttner_1c,norm_1,722.3822411711521,22.954698246144744
71-80,juttner_1c,temperature_1,0.5251446599633482,0.004681230887375709
71-80,juttner_1c,U_1,2.999999984880527,0.014976199163562187
71-80,bose_1c,norm_1,480.58319909374603,13.558816046573696
71-80,bose_1c,temperature_1,0.580469114876264,0.004483311609074614
71-80,bose_1c,U_1,2.999999956285148,0.0233915692762241
71-80,tsallis_1c,norm_1,3336.0259971465853,107.17588146664525
71-80,tsallis_1c,temperature_1,0.12376916493032014,0.0012479337027794454
71-80,tsallis_1c,q_1,1.1677056370599792,0.0007830665083747856
71-80,bgbw,norm_1,8635.925039882644,978.8914418342497
71-80,bgbw,temperature_1,0.14568730782273367,0.005329701827743866
71-80,bgbw,beta_s_1,0.9611283777687258,0.002203698859261083
71-80,bgbw,n_1,2.512586128511638,0.15482611718822326
71-80,juttner_2c,norm_1,21.432096316893226,1.631763169260294
71-80,juttner_2c,temperature_1,1.0537010161295273,0.0131311061408097
71-80,juttner_2c,U_1,2.9999999097238947,0.08626178771959281
71-80,juttner_2c,norm_2,3428.369814510344,150.7882124811008
71-80,juttner_2c,temperature_2,0.321974699003003,0.004339463965305351
71-80,juttner_2c,U_2,2.99999762109254,0.12476965607476709
71-80,bose_2c,norm_1,2204.03914955216,127.95614630642854
71-80,bose_2c,temperature_1,0.29716530970841454,0.026054436568493794
71-80,bose_2c,U_1,2.3522779623301644,0.305205188965499
71-80,bose_2c,norm_2,14.291637702869036,1.176542510208825
71-80,bose_2c,temperature_2,1.122609394624178,0.01477959755128433
71-80,bose_2c,U_2,2.9999996029462417,0.11211523561910397
71-80,tsallis_2c,norm_1,19063.889568694245,7697.323951079591
71-80,tsallis_2c,temperature_1,0.0640580234655926,0.008564928124536447
71-80,tsallis_2c,q_1,1.0445621765268496,0.032781314790852
71-80,tsallis_2c,norm_2,1071.8461635805204,82.94470107900412
71-80,tsallis_2c,temperature_2,0.16987360284304598,0.00343372362658545
71-80,tsallis_2c,q_2,1.147227989270668,0.0014432789596265927
81-90,juttner_1c,norm_1,793.6581017112726,24.878497393316138
81-90,juttner_1c,temperature_1,0.5353725106188855,0.004765223538770957
81-90,juttner_1c,U_1,2.99999999998985,0.014870054614694705
81-90,bose_1c,norm_1,527.5701197076098,14.656732792105458
81-90,bose_1c,temperature_1,0.5922407340089854,0.004555894651189829
81-90,bose_1c,U_1,2.999999963807645,0.02357863770813462
81-90,tsallis_1c,norm_1,3755.455406976071,125.44925564951222
81-90,tsallis_1c,temperature_1,0.12433420803810852,0.0013223332121992115
81-90,tsallis_1c,q_1,1.1712569498064622,0.0008530881009988223
81-90,bgbw,norm_1,14706.731305397563,2797.3737155153713
81-90,bgbw,temperature_1,0.12814814608517378,0.007807847659848967
81-90,bgbw,beta_s_1,0.9694408655661659,0.0031379389341562036
81-90,bgbw,n_1,1.9475051870857023,0.16511974019845654
81-90,bose_2c,norm_1,2617.5820051966907,196.6271499436241
81-90,bose_2c,temperature_1,0.2770501585787202,0.029361719386486726
81-90,bose_2c,U_1,2.1804558379107797,0.3708415030288984
81-90,bose_2c,norm_2,20.761519427299373,1.6713245369450842
81-90,bose_2c,temperature_2,1.099648390626858,0.014474114286602724
81-90,bose_2c,U_2,2.9999995448944423,0.11174049687258525
81-90,tsallis_2c,norm_1,23554.352968277246,9502.139434496126
81-90,tsallis_2c,temperature_1,0.06262318798405145,0.00839873740942064
81-90,tsallis_2c,q_1,1.0530914271050558,0.032860229214311865
81-90,tsallis_2c,norm_2,1122.704024482348,93.64732349357234
81-90,tsallis_2c,temperature_2,0.1750489329306381,0.0038454333798905727
81-90,tsallis_2c,q_2,1.1482227650839254,0.001624778745500155
91-100,juttner_1c,norm_1,880.0721564624137,27.707811595157352
91-100,juttner_1c,temperature_1,0.5403291259164873,0.004894502511337551
91-100,juttner_1c,U_1,2.999999998162607,0.015641632122540994
91-100,bose_1c,norm_1,580.616549701617,16.210145787264935
91-100,bose_1c,temperature_1,0.5994749825502448,0.004700105043411618
91-100,bose_1c,U_1,2.999999783817127,0.0242708313348865
91-100,tsallis_1c,norm_1,4253.903542871521,146.42450904416228
91-100,tsallis_1c,temperature_1,0.12366893899265378,0.0013732378147609386
91-100,tsallis_1c,q_1,1.175944994865444,0.0009207695890598444
91-100,bgbw,norm_1,28842.094658343085,8390.438218392048
91-100,bgbw,temperature_1,0.10735386849853837,0.009703381192039048
91-100,bgbw,beta_s_1,0.978769780518623,0.003470019302712235
91-100,bgbw,n_1,1.4893486237266904,0.1556560060200608
91-100,juttner_2c,norm_1,45.85438894340165,3.1337632778099085
91-100,juttner_2c,temperature_1,1.0010247250543043,0.011882500759830605
91-100,juttner_2c,U_1,2.9999980236446153,0.09855227144980572
91-100,juttner_2c,norm_2,5347.197007911189,250.38136604745068
91-100,juttner_2c,temperature_2,0.3007930154364005,0.0044609865593168985
91-100,juttner_2c,U_2,2.9999859134985156,0.06220226115137084
91-100,bose_2c,norm_1,3233.220972337693,272.7190562397477
91-100,bose_2c,temperature_1,0.24496444583189286,0.02278152554112267
91-100,bose_2c,U_1,1.9224862367466498,0.3245033815439067
91-100,bose_2c,norm_2,32.518287377577806,2.574057837695209
91-100,bose_2c,temperature_2,1.059303797082257,0.014220023756258193
91-100,bose_2c,U_2,2.9999999996143663,0.11428546906146564
