group_label,model_name,parameter_left,parameter_right,correlation
126-150,juttner_2c,temperature_2,U_2,0.9884376570722756
126-150,juttner_2c,U_2,norm_1,-0.15500909594253073
126-150,juttner_2c,U_2,temperature_1,0.1454136311502311
126-150,juttner_2c,U_2,U_1,-2.178408483168664e-05
126-150,juttner_2c,U_2,norm_2,0.6372214772224252
126-150,juttner_2c,U_2,temperature_2,0.9884376570722756
126-150,juttner_2c,U_2,U_2,1.0
126-150,bose_2c,norm_1,norm_1,1.0
126-150,bose_2c,norm_1,temperature_1,-0.98218735506889
126-150,bose_2c,norm_1,U_1,-0.0002060917489477839
126-150,bose_2c,norm_1,norm_2,0.2550180877081812
126-150,bose_2c,norm_1,temperature_2,-0.360628496863706
126-150,bose_2c,norm_1,U_2,-0.1239459312520568
126-150,bose_2c,temperature_1,norm_1,-0.98218735506889
126-150,bose_2c,temperature_1,temperature_1,0.9999999999999999
126-150,bose_2c,temperature_1,U_1,-0.003643408540870101
126-150,bose_2c,temperature_1,norm_2,-0.24003232645310604
126-150,bose_2c,temperature_1,temperature_2,0.338881745275337
126-150,bose_2c,temperature_1,U_2,0.11545275618782544
126-150,bose_2c,U_1,norm_1,-0.0002060917489477839
126-150,bose_2c,U_1,temperature_1,-0.003643408540870101
126-150,bose_2c,U_1,U_1,1.0
126-150,bose_2c,U_1,norm_2,-7.881780608467532e-06
126-150,bose_2c,U_1,temperature_2,5.874995351354034e-06
126-150,bose_2c,U_1,U_2,-6.36320367168852e-07
126-150,bose_2c,norm_2,norm_1,0.2550180877081812
126-150,bose_2c,norm_2,temperature_1,-0.24003232645310604
126-150,bose_2c,norm_2,U_1,-7.881780608467532e-06
126-150,bose_2c,norm_2,norm_2,1.0
126-150,bose_2c,norm_2,temperature_2,0.6866146262292028
126-150,bose_2c,norm_2,U_2,0.8676963132724541
126-150,bose_2c,temperature_2,norm_1,-0.360628496863706
126-150,bose_2c,temperature_2,temperature_1,0.338881745275337
126-150,bose_2c,temperature_2,U_1,5.874995351354034e-06
126-150,bose_2c,temperature_2,norm_2,0.6866146262292028
126-150,bose_2c,temperature_2,temperature_2,1.0000000000000002
126-150,bose_2c,temperature_2,U_2,0.955842349070651
126-150,bose_2c,U_2,norm_1,-0.1239459312520568
126-150,bose_2c,U_2,temperature_1,0.11545275618782544
126-150,bose_2c,U_2,U_1,-6.36320367168852e-07
126-150,bose_2c,U_2,norm_2,0.8676963132724541
126-150,bose_2c,U_2,temperature_2,0.955842349070651
126-150,bose_2c,U_2,U_2,1.0
126-150,tsallis_2c,norm_1,norm_1,0.9999999999999998
126-150,tsallis_2c,norm_1,temperature_1,-0.9927515894583062
126-150,tsallis_2c,norm_1,q_1,0.9018486422672135
126-150,tsallis_2c,norm_1,norm_2,-0.7224832925864533
126-150,tsallis_2c,norm_1,temperature_2,0.7356944336452804
126-150,tsallis_2c,norm_1,q_2,-0.8593788483077378
126-150,tsallis_2c,temperature_1,norm_1,-0.9927515894583062
126-150,tsallis_2c,temperature_1,temperature_1,1.0
126-150,tsallis_2c,temperature_1,q_1,-0.9435980231768635
126-150,tsallis_2c,temperature_1,norm_2,0.6624353904163898
126-150,tsallis_2c,temperature_1,temperature_2,-0.6744097143977691
126-150,tsallis_2c,temperature_1,q_2,0.8056428096171271
126-150,tsallis_2c,q_1,norm_1,0.9018486422672135
126-150,tsallis_2c,q_1,temperature_1,-0.9435980231768635
126-150,tsallis_2c,q_1,q_1,1.0000000000000002
126-150,tsallis_2c,q_1,norm_2,-0.4833643480050917
126-150,tsallis_2c,q_1,temperature_2,0.49139490438871586
126-150,tsallis_2c,q_1,q_2,-0.6272552613033668
126-150,tsallis_2c,norm_2,norm_1,-0.7224832925864533
126-150,tsallis_2c,norm_2,temperature_1,0.6624353904163898
126-150,tsallis_2c,norm_2,q_1,-0.4833643480050917
