bin,model,n_comp,mean_pull,rms_pull,ks_pvalue,well_specified
31-40,manuscript_juttner,1c,7.376753856046692,12.25228827968835,1.3920489469871876e-18,False
41-50,manuscript_juttner,1c,7.06415405148673,12.15329975318219,1.7215305357956412e-17,False
51-60,manuscript_juttner,1c,6.858637283163178,12.045334351899038,1.9293913922525844e-16,False
61-70,manuscript_juttner,1c,8.458265216445026,14.300738177687192,7.286999056462486e-19,False
71-80,manuscript_juttner,1c,8.236430590299909,14.077944567267062,1.8184244754230773e-18,False
81-90,manuscript_juttner,1c,7.878786899050382,13.634447474859629,5.984002626427528e-18,False
91-100,manuscript_juttner,1c,7.534779040907586,13.134871446890884,1.3694757659265025e-18,False
101-125,manuscript_juttner,2c,1.83678287894326,5.743944986034861,5.58248864032622e-09,False
126-150,manuscript_juttner,2c,1.326882040072496,3.934951377949123,8.474090522991902e-07,False
21-30,manuscript_juttner,2c,1.2769720464613146,3.972539038178754,5.521413531324153e-07,False
31-40,manuscript_juttner,2c,2.132848760029969,6.364494262080502,7.432049078637069e-10,False
41-50,manuscript_juttner,2c,2.067934181768677,6.3401728733427944,2.061555451211995e-09,False
51-60,manuscript_juttner,2c,2.0556610406920752,6.292272562235025,1.298753296202652e-09,False
61-70,manuscript_juttner,2c,2.364036867875277,7.31473462179981,1.3833000624692837e-10,False
71-80,manuscript_juttner,2c,2.2844684036106355,7.07745125047302,1.7559844359097366e-10,False
81-90,manuscript_juttner,2c,2.1305701091002454,6.676310403682976,5.038311326517852e-10,False
91-100,manuscript_juttner,2c,2.0298424035541776,6.190288244268752,4.655220600043886e-10,False
101-125,tsallis,1c,0.8197793817673179,4.2444413497395,3.59080638313959e-08,False
126-150,tsallis,1c,0.474830383025271,3.394330906741717,5.1509846550455494e-06,False
21-30,tsallis,1c,0.06007763201554155,0.7428493778999096,0.1714501417909572,True
31-40,tsallis,1c,0.40467412094877386,2.4795055920435125,4.0639073434904955e-05,False
41-50,tsallis,1c,0.5220076383873863,2.920411866469103,3.178383318449007e-06,False
51-60,tsallis,1c,0.5888927899211985,3.1541909947122573,2.0399516273698502e-07,False
61-70,tsallis,1c,0.8771345193133844,4.152392265233773,2.0043898397221254e-08,False
71-80,tsallis,1c,0.8969552863658365,4.238117277381784,2.0838466186808988e-08,False
81-90,tsallis,1c,0.8796638033221365,4.256482146858161,2.1865839120219443e-08,False
91-100,tsallis,1c,0.8692998754990469,4.285143890051499,6.037614265456685e-09,False
101-125,tsallis,2c,0.11035884202803345,1.0938907323954825,0.3092065191851806,True
126-150,tsallis,2c,0.026392385509800744,0.6257586787941262,0.14678333954517764,True
21-30,tsallis,2c,0.03559568019057041,0.5616194651771388,0.0023861634624596784,False
31-40,tsallis,2c,0.07697498910762209,0.9458135889159341,0.08075030144568451,True
41-50,tsallis,2c,0.09657109728069123,1.0802453635207563,0.1999543635555192,True
51-60,tsallis,2c,0.09891613933521541,1.1164093522064342,0.4359532576738179,True
61-70,tsallis,2c,0.877183026410215,4.152392289363291,2.025990762829786e-08,False
71-80,tsallis,2c,0.14455573685534034,1.336649872793511,0.4997208282532599,True
81-90,tsallis,2c,0.8796086342211326,4.256482152875644,2.1899309730638526e-08,False
91-100,tsallis,2c,0.12943337765026847,1.1853759384897329,0.876335013360316,True
