source_record,source_table,source_table_doi,observable_kind,eta_range,multiplicity_selection,manuscript_bin,fit_ready,mapping_status,pt_low_gev,pt_high_gev,pt_center_gev,yield_value,stat_error,sys_error,total_error
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.55,0.6,0.575,14.29,0.01066,0.4812,0.4813180607456986
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.55,0.6,0.575,17.76,0.01823,0.449,0.4493699287891881
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.55,0.6,0.575,21.13,0.03155,0.534,0.5349312128675986
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.55,0.6,0.575,24.38,0.05554,0.6163,0.6187975287604177
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.55,0.6,0.575,27.49,0.09946,0.6958,0.7028726282905032
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.55,0.6,0.575,31.26,0.1588,0.7901,0.8059003970714992
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.55,0.6,0.575,37.08,0.5318,1.023,1.152970181747993
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.6,0.65,0.625,1.946,0.001147,0.132,0.1320049832733598
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.6,0.65,0.625,6.008,0.003304,0.2051,0.2051266106969059
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.6,0.65,0.625,9.533,0.006016,0.3223,0.3223561419548261
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.6,0.65,0.625,12.86,0.01033,0.4348,0.4349226930156669
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.6,0.65,0.625,16.05,0.01769,0.4086,0.4089827577050162
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,71-80,71-80,True,matched_to_manuscript_bin,0.6,0.65,0.625,19.15,0.03066,0.488,0.4889622026292012
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,81-90,81-90,True,matched_to_manuscript_bin,0.6,0.65,0.625,22.21,0.05412,0.5688,0.5713688951981898
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,91-100,91-100,True,matched_to_manuscript_bin,0.6,0.65,0.625,25.05,0.09693,0.6379,0.6452223143227457
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,101-125,101-125,True,matched_to_manuscript_bin,0.6,0.65,0.625,28.73,0.1555,0.7313,0.7476496104459628
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,126-150,126-150,True,matched_to_manuscript_bin,0.6,0.65,0.625,33.97,0.5197,0.8805,1.0224325601231603
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,21-30,21-30,True,matched_to_manuscript_bin,0.65,0.7,0.675,1.67,0.001085,0.1134,0.1134051904676324
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,31-40,31-40,True,matched_to_manuscript_bin,0.65,0.7,0.675,5.33,0.003187,0.1828,0.1828277795330895
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,41-50,41-50,True,matched_to_manuscript_bin,0.65,0.7,0.675,8.564,0.00584,0.2908,0.2908586350789675
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,51-60,51-60,True,matched_to_manuscript_bin,0.65,0.7,0.675,11.61,0.01005,0.3943,0.3944280574452076
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,pt_spectrum,-0.8-0.8,61-70,61-70,True,matched_to_manuscript_bin,0.65,0.7,0.675,14.59,0.01727,0.3743,0.3746982024242977
