norm,T,beta_s,n
1250.8479786564762,0.13622398200374006,0.9044080570420162,4.104042857100565
1250.8492818276845,0.1362231999529156,0.9044509087139622,4.100832446424453
1250.8641121709657,0.13622825839721295,0.9044283815783036,4.1017495854163
1250.8739860162145,0.136220513971852,0.9044619066191618,4.103169510687091
1250.8448337256336,0.13623394905864503,0.9044002215975697,4.102062134545752
1250.8448288796785,0.1362237118517735,0.9043986024838059,4.1020645189338625
1250.8448219360928,0.1362171279063592,0.9043981568445898,4.102065414492364
1250.8448213605673,0.1362281881998001,0.904401461049159,4.102058983623349
1250.8446494714244,0.13622624594980864,0.9044750763100914,4.102051536656886
1250.859694021922,0.13623302220467798,0.9044206615643363,4.103405418895784
1250.8139505462232,0.1362328642085253,0.9042497785526814,4.098721334693449
1250.7927354203748,0.13621892043485218,0.9044458499168884,4.0989434823855735
1250.7853921761407,0.1362248841268386,0.9043999372871632,4.102311080427649
1250.783773846974,0.13622701791334918,0.9044778416425795,4.102718296769217
1250.7654130180006,0.13623803012389712,0.9044290649894338,4.10290294150958
1250.7418973451292,0.13622778204668937,0.9045308087749803,4.102406553659674
1250.762548608049,0.13623584079432055,0.904459308059633,4.105527794824311
1250.7761431202925,0.136221965172851,0.9045084455770577,4.102254947836738
1250.776117644938,0.13623574524066198,0.9045006076082793,4.102252818045823
1250.7761352119412,0.13623827503494612,0.9045029457291331,4.102250569295521
1250.7635760792475,0.13622539774463985,0.9043830275579429,4.100871218691483
1250.7631988901508,0.1362292973320603,0.9044249547363743,4.100896289410755
1250.7615367266692,0.13622681984158239,0.9044441908908512,4.100436535298024
1250.7614863036308,0.13623879672001502,0.9044510314970539,4.100445704241619
1250.762997027734,0.1362276778328711,0.9045402920479595,4.104310469510852
1250.7630330539118,0.13623176571803705,0.9045229567182286,4.104344377618654
1250.765738570351,0.1362317241098978,0.9045356236263061,4.105699233682578
1250.761206548736,0.13623446213929394,0.9044526833705655,4.103935478798844
1250.761202128631,0.13623317467571194,0.9044175837713616,4.10393234685241
1250.7580110314618,0.13622800838014068,0.9044091987151508,4.100438414949892
1250.738645385016,0.13622643442452015,0.9043924367651088,4.098984516042282
1250.7381584705008,0.13622487435586622,0.9043898136895904,4.098567401699373
1250.7350421025435,0.13623160627852238,0.9043742612017044,4.099680171225685
1250.6929563526203,0.13623294628103666,0.9043731567164914,4.101088439692713
1250.6931510818602,0.1362349809103571,0.9043547127847946,4.100814809177355
1250.701469951174,0.13622722428944137,0.9044415563938812,4.100899815312017
1250.6912352235026,0.13623323307406232,0.9044403600588503,4.101263408835825
1250.68876728076,0.13623173776658418,0.9042891555520979,4.096732313104368
1250.6948231840322,0.13622750390633528,0.9042594644660372,4.096120195585426
1250.6946589163429,0.13622275547497173,0.9043486314909976,4.09545239467307
1250.677688741689,0.13623005669660726,0.9043056827472467,4.100048026324463
1250.6776470772036,0.13622976116815846,0.9044180852488869,4.100008218645778
1250.6953655527898,0.1362306225337207,0.9043089866319189,4.100335749575091
1250.6766630799575,0.13623172175758794,0.904392402048852,4.096752284629287
1250.6550689812323,0.13621945841992034,0.9043416106577866,4.096593634413589
1250.6895305100638,0.13623456742381118,0.90435422073406,4.097245755570762
1250.6895327786033,0.13622736284263845,0.9043564710820026,4.097246025275388
1250.6838192049713,0.1362281855312429,0.9043546140130323,4.097497805501238
1250.6742569882304,0.1362276265253786,0.9043009973185341,4.095336106092747
1250.674152771034,0.1362238371805794,0.9042933084165075,4.095248604761341
1250.6757166973441,0.13622753775463503,0.9042135704205466,4.092069892620766
1250.693687898739,0.13623326401840583,0.9043530231904168,4.098928014020811
1250.6728458565965,0.13624460163051794,0.9044141287115094,4.102608659475804
1250.6849154513907,0.13623880805184924,0.9044175737553589,4.100416027880148
1250.6849399987418,0.13623087727318342,0.9044058860180575,4.098619702651736
1250.697611293875,0.1362310844585799,0.9043479225512958,4.099324609642175
1250.697619876439,0.13622600269099588,0.9043474898276085,4.099325861750477
1250.7166051899337,0.13622556728582105,0.904421128813984,4.099506904012602
1250.7470809420288,0.13622708058311495,0.9043143470134248,4.100000609502049
1250.7456783318169,0.1362361538343147,0.9044144284366398,4.101134011488072
1250.745664029455,0.13622249215347898,0.9044311320369969,4.101134905354234
1250.762182043054,0.13623145377046153,0.904378130104086,4.100829319947806
1250.7541317481582,0.1362296180578586,0.904427084232601,4.100866599031292
1250.7642777680362,0.13623378052810206,0.9043845126067512,4.099728032567648
1250.741679640716,0.13623185748880934,0.9043289448524934,4.097245444678751
1250.7365452032284,0.13622540296588173,0.9043286314524273,4.098001205759569
1250.7387227813929,0.1362317745854582,0.9044771043000702,4.10330806819242
1250.7228382787243,0.13623137473235933,0.9043937658587324,4.101876651272392
1250.7228746493583,0.13623675306928085,0.9043959387669188,4.101875811140099
1250.7601273043736,0.13623330597054176,0.9045099445260208,4.108959359989843
1250.789492836839,0.13622433523429386,0.9043800201999476,4.101416224623407
1250.7893207803754,0.13622615251408796,0.9043850324971128,4.099225466490157
1250.806427981115,0.13622493048405118,0.9043695981622926,4.100214672577496
1250.7952456739094,0.1362351520694622,0.9044279475186516,4.100922144922673
1250.7952140466325,0.13622259188421584,0.9044360139182169,4.100928198796687
1250.7952110957349,0.136236831664043,0.9044289106684938,4.10093262417196
1250.7950962224681,0.13622903184449092,0.9044974162554165,4.100912625497547
1250.7949941835393,0.13622530937735775,0.9043781332771239,4.10082022855039
1250.7842939527945,0.13622832132424906,0.9044106194869771,4.100298065266979
1250.8002468486018,0.1362273461650115,0.9044810355543031,4.102993481160446
1250.8003529693615,0.13621888300801513,0.904513193499952,4.103004646787087
1250.804946765999,0.13623062330369398,0.9044432689432442,4.10257477781162
1250.813025946042,0.13622721415355274,0.9044782444563375,4.1039737233504265
1250.7917122026201,0.1362337688886178,0.9044497238662477,4.104933647359046
1250.791701699645,0.13623115399027347,0.9044799908864047,4.104187053456503
1250.7895152959723,0.1362323564545374,0.9044266165852735,4.102452758920869
1250.789516827266,0.13622926387015208,0.9044227575378494,4.102451720282472
1250.7900769506382,0.13622718263421826,0.9044165000518597,4.103491052782249
1250.7851031213038,0.13623864634845068,0.9043907421458319,4.1012844748504005
1250.7846722961012,0.13621726911859255,0.9044206766650845,4.101676335852206
1250.7844879768713,0.13622927627182074,0.9043535093545666,4.101644283643658
1250.7977976510847,0.1362290095888248,0.904310422337328,4.099806504328732
1250.8335910036171,0.13622308082032347,0.9043513978413557,4.095868641023415
1250.8348619594954,0.13622687121473714,0.9044513352980231,4.101544775480795
1250.8348218804456,0.1362219508406113,0.9044884618268761,4.10154227101419
1250.7968871045498,0.136230381993582,0.9045230064594545,4.105386390302438
1250.775385983144,0.13623351641417422,0.9043741316205296,4.102497511730068
1250.7796814069725,0.13622464865801576,0.9042858613552925,4.095282143112418
1250.7795641695834,0.13622638079866836,0.9042354968157048,4.095283837506235
1250.7820208522382,0.13623048107862032,0.9042125610045229,4.0961719562022925
1250.7905344578808,0.1362258485304013,0.9044170220827187,4.097067805733714
1250.7911192271604,0.13622429433714814,0.9044228349697283,4.096570312965311
1250.8150894709847,0.13623772892472996,0.9043498134207293,4.102734749254749
1250.8152877907803,0.13622427757105005,0.9044927049419952,4.10276593613254
1250.7944987266696,0.1362337161042953,0.9044929869227665,4.102879023299549
