group_label,model_name,parameter_left,parameter_right,correlation
91-100,juttner_powerlaw,temperature_1,norm_2,-0.6207681769722735
91-100,juttner_powerlaw,temperature_1,p0_2,0.5047857744292185
91-100,juttner_powerlaw,temperature_1,n_2,0.43471883128303745
91-100,juttner_powerlaw,U_1,norm_1,0.9858339452554538
91-100,juttner_powerlaw,U_1,temperature_1,0.3465358507836067
91-100,juttner_powerlaw,U_1,U_1,0.9999999999999999
91-100,juttner_powerlaw,U_1,norm_2,-0.03360233399189936
91-100,juttner_powerlaw,U_1,p0_2,0.026230538438248636
91-100,juttner_powerlaw,U_1,n_2,0.02211102243103544
91-100,juttner_powerlaw,norm_2,norm_1,0.04366189860490581
91-100,juttner_powerlaw,norm_2,temperature_1,-0.6207681769722735
91-100,juttner_powerlaw,norm_2,U_1,-0.03360233399189936
91-100,juttner_powerlaw,norm_2,norm_2,1.0000000000000002
91-100,juttner_powerlaw,norm_2,p0_2,-0.9477305740302564
91-100,juttner_powerlaw,norm_2,n_2,-0.8802199390744533
91-100,juttner_powerlaw,p0_2,norm_1,-0.03232365988403211
91-100,juttner_powerlaw,p0_2,temperature_1,0.5047857744292185
91-100,juttner_powerlaw,p0_2,U_1,0.026230538438248636
91-100,juttner_powerlaw,p0_2,norm_2,-0.9477305740302564
91-100,juttner_powerlaw,p0_2,p0_2,1.0
91-100,juttner_powerlaw,p0_2,n_2,0.98284224275884
91-100,juttner_powerlaw,n_2,norm_1,-0.026319945879310948
91-100,juttner_powerlaw,n_2,temperature_1,0.43471883128303745
91-100,juttner_powerlaw,n_2,U_1,0.02211102243103544
91-100,juttner_powerlaw,n_2,norm_2,-0.8802199390744533
91-100,juttner_powerlaw,n_2,p0_2,0.98284224275884
91-100,juttner_powerlaw,n_2,n_2,1.0000000000000002
