group_label,model_name,component_count,success,chi2,ndf,chi2_ndf,fit_quality_flag,gate_passed,gate_failures,aic,bic,edm,has_accurate_covar,seed_index
71-80,exact_bose_einstein,1,True,1119.1676041590742,36,31.08798900441873,poor,False,chi2/ndf = 31.088 exceeds max 5.0,1125.1676041590742,1130.1582890974632,3.0227618732000033e-06,True,3
71-80,tsallis,1,True,400.1014469697157,36,11.113929082492103,poor,False,chi2/ndf = 11.114 exceeds max 5.0,406.1014469697157,411.09213190810465,1.676135725080406e-08,True,6
71-80,manuscript_juttner,2,False,113.61208880076781,33,3.442790569720237,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate,125.61208880076781,135.5934586775457,0.019954815709642332,False,6
71-80,exact_bose_einstein,2,True,53.35692149980406,33,1.6168764090849714,ok,False,Minuit covariance matrix is not accurate,65.35692149980406,75.33829137658194,0.00036976304128686,False,3
71-80,tsallis,2,False,1.473765563405042,33,0.04465956252742551,ok,False,Minuit did not converge (valid=False),13.473765563405042,23.455135440182918,0.004704811824953284,True,3
71-80,manuscript_juttner,3,False,2.8705659322011843,30,0.09568553107337281,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate,20.870565932201185,35.842620747367995,0.03310750303049693,False,6
71-80,exact_bose_einstein,3,True,1.3505540252125496,30,0.045018467507084985,poor,False,Minuit covariance matrix is not accurate; Unconstrained parameters: U_1: |err/val|=1.51 > 1.0,19.35055402521255,34.32260884037937,0.0015784978842752844,False,1
71-80,tsallis,3,False,8.82588127172849,30,0.29419604239094965,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate; EDM = 3.757 exceeds threshold 0.1; fit may not be at minimum,26.82588127172849,41.797936086895305,3.7571998714257373,False,1
81-90,manuscript_juttner,1,True,2500.9897684049047,36,69.47193801124735,poor,False,chi2/ndf = 69.472 exceeds max 5.0,2506.9897684049047,2511.9804533432934,1.5071166973117631e-05,True,9
81-90,exact_bose_einstein,1,True,1030.9555993491283,36,28.637655537475787,poor,False,chi2/ndf = 28.638 exceeds max 5.0,1036.9555993491283,1041.9462842875173,9.576662750238525e-06,True,3
81-90,tsallis,1,True,420.485754974347,36,11.680159860398527,poor,False,chi2/ndf = 11.680 exceeds max 5.0,426.485754974347,431.47643991273594,2.805445993946547e-07,True,5
81-90,manuscript_juttner,2,False,112.98247890586958,33,3.423711481996048,ok,False,Minuit did not converge (valid=False); EDM = 0.125 exceeds threshold 0.1; fit may not be at minimum,124.98247890586958,134.96384878264746,0.12498812432141426,True,5
81-90,exact_bose_einstein,2,False,54.73391067579192,33,1.6586033538118763,ok,False,Minuit did not converge (valid=False),66.73391067579192,76.7152805525698,0.010703503715520896,True,7
81-90,tsallis,2,False,2.5560650153001565,33,0.07745651561515626,ok,False,Minuit did not converge (valid=False); EDM = 0.3578 exceeds threshold 0.1; fit may not be at minimum,14.556065015300156,24.537434892078032,0.3577956145005248,True,5
81-90,manuscript_juttner,3,False,3.4293129147570274,30,0.11431043049190091,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate,21.429312914757027,36.40136772992384,0.007037531978079654,False,3
81-90,exact_bose_einstein,3,False,1.7911706304939814,30,0.05970568768313271,poor,False,Minuit did not converge (valid=False); Unconstrained parameters: U_1: |err/val|=12.06 > 1.0; norm_2: |err/val|=1.03 > 1.0; U_2: |err/val|=2.81 > 1.0; U_3: |err/val|=1.74 > 1.0,19.79117063049398,34.763225445660794,0.010557475783501741,True,1
81-90,tsallis,3,False,1.6328574078992872,30,0.05442858026330957,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate,19.632857407899287,34.6049122230661,0.019303310235856908,False,4
91-100,manuscript_juttner,1,True,2440.0348869289533,36,67.77874685913758,poor,False,chi2/ndf = 67.779 exceeds max 5.0,2446.0348869289533,2451.025571867342,9.074184861101737e-07,True,6
91-100,exact_bose_einstein,1,True,978.023702390059,36,27.16732506639053,poor,False,chi2/ndf = 27.167 exceeds max 5.0,984.023702390059,989.014387328448,1.671739549109053e-05,True,8
91-100,tsallis,1,True,416.8362533759159,36,11.578784815997663,poor,False,chi2/ndf = 11.579 exceeds max 5.0,422.8362533759159,427.8269383143048,3.487317430581468e-07,True,7
91-100,manuscript_juttner,2,False,106.4331267379419,33,3.225246264786118,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate,118.4331267379419,128.41449661471978,0.06252458461906904,False,5
91-100,exact_bose_einstein,2,True,53.83540341161617,33,1.6313758609580657,ok,False,Minuit covariance matrix is not accurate,65.83540341161617,75.81677328839405,0.0013248209270764057,False,3
91-100,tsallis,2,False,2.7170254975577595,33,0.08233410598659877,ok,False,Minuit did not converge (valid=False); EDM = 0.1086 exceeds threshold 0.1; fit may not be at minimum,14.71702549755776,24.698395374335636,0.10858030560052015,True,3
91-100,manuscript_juttner,3,False,4.344164581936115,30,0.1448054860645372,poor,False,Minuit did not converge (valid=False); Unconstrained parameters: U_2: |err/val|=1.86 > 1.0; U_3: |err/val|=1.11 > 1.0,22.344164581936116,37.31621939710293,0.0967634837144746,True,1
91-100,exact_bose_einstein,3,False,2.12288125125857,30,0.07076270837528567,ok,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate,20.12288125125857,35.09493606642538,0.006397117091610485,False,2
91-100,tsallis,3,False,3.404452919112142,30,0.11348176397040473,poor,False,Minuit did not converge (valid=False); Minuit covariance matrix is not accurate; EDM = 1.168 exceeds threshold 0.1; fit may not be at minimum; Unconstrained parameters: norm_3: |err/val|=17.83 > 1.0; temperature_3: |err/val|=1.69 > 1.0,21.404452919112142,36.37650773427896,1.1676596989729484,False,9
